#FIR coefficients for EISCAT 3D FSRU Delays
#
#April 20, 2017
#Computed using Equiripple Method
#
#Delay is in picoseconds
#Coefficients are signed, 18 bits, 3 integer bits.  Full scale = 32768.
#
#Delay Coef0 Coef1 Coef2 Coef3 Coef4 Coef5 Coef6 Coef7 Coef8 Coef9 
2920 -501 1236 -2777 8356 30420 -5818 2938 -1557 866 -395 
2940 -497 1226 -2753 8273 30465 -5785 2919 -1547 860 -392 
2960 -493 1216 -2730 8189 30509 -5752 2900 -1536 854 -390 
2980 -489 1206 -2706 8106 30553 -5718 2881 -1525 848 -387 
3000 -485 1196 -2683 8023 30597 -5684 2861 -1515 842 -384 
3020 -481 1186 -2659 7940 30640 -5650 2842 -1504 835 -381 
3040 -477 1176 -2635 7857 30682 -5615 2822 -1493 829 -378 
3060 -473 1166 -2611 7774 30725 -5580 2802 -1482 823 -375 
3080 -469 1156 -2587 7691 30767 -5545 2782 -1471 817 -372 
3100 -465 1146 -2563 7609 30808 -5509 2762 -1460 810 -369 
3120 -461 1136 -2539 7527 30849 -5473 2742 -1449 804 -366 
3140 -457 1126 -2515 7444 30890 -5437 2721 -1438 798 -363 
3160 -453 1115 -2491 7362 30930 -5400 2701 -1426 791 -361 
3180 -449 1105 -2467 7280 30970 -5363 2680 -1415 785 -358 
3200 -445 1095 -2443 7198 31009 -5325 2659 -1404 778 -355 
3220 -441 1084 -2419 7117 31048 -5288 2638 -1392 772 -352 
3240 -437 1074 -2395 7035 31087 -5250 2617 -1381 765 -348 
3260 -433 1064 -2370 6954 31125 -5211 2596 -1369 758 -345 
3280 -429 1053 -2346 6873 31163 -5173 2574 -1357 752 -342 
3300 -425 1043 -2322 6792 31200 -5133 2553 -1345 745 -339 
3320 -420 1032 -2297 6711 31237 -5094 2531 -1334 738 -336 
3340 -416 1022 -2273 6630 31274 -5054 2509 -1322 732 -333 
3360 -412 1011 -2248 6549 31310 -5014 2487 -1310 725 -330 
3380 -408 1001 -2224 6469 31346 -4974 2465 -1298 718 -327 
3400 -404 990 -2200 6388 31381 -4933 2443 -1286 711 -324 
3420 -399 980 -2175 6308 31416 -4892 2420 -1273 704 -321 
3440 -395 969 -2150 6228 31450 -4851 2398 -1261 698 -317 
3460 -391 958 -2126 6148 31484 -4809 2375 -1249 691 -314 
3480 -387 948 -2101 6069 31518 -4767 2353 -1237 684 -311 
3500 -382 937 -2077 5989 31551 -4725 2330 -1224 677 -308 
3520 -378 926 -2052 5910 31584 -4682 2307 -1212 670 -304 
3540 -374 916 -2027 5831 31616 -4639 2283 -1199 662 -301 
3560 -370 905 -2002 5752 31648 -4595 2260 -1187 655 -298 
3580 -365 894 -1978 5673 31679 -4552 2237 -1174 648 -295 
3600 -361 883 -1953 5594 31710 -4508 2213 -1161 641 -291 
3620 -357 873 -1928 5516 31741 -4463 2189 -1149 634 -288 
3640 -352 862 -1903 5438 31771 -4419 2166 -1136 627 -285 
3660 -348 851 -1879 5360 31801 -4374 2142 -1123 619 -281 
3680 -344 840 -1854 5282 31830 -4328 2118 -1110 612 -278 
3700 -339 829 -1829 5204 31859 -4283 2094 -1097 605 -275 
3720 -335 818 -1804 5126 31887 -4237 2069 -1084 598 -271 
3740 -330 807 -1779 5049 31915 -4190 2045 -1071 590 -268 
3760 -326 796 -1754 4972 31943 -4144 2020 -1058 583 -265 
3780 -322 785 -1729 4895 31970 -4097 1996 -1044 575 -261 
3800 -317 774 -1704 4818 31997 -4049 1971 -1031 568 -258 
3820 -313 764 -1680 4741 32023 -4002 1946 -1018 560 -254 
3840 -308 753 -1655 4665 32049 -3954 1921 -1004 553 -251 
3860 -304 742 -1630 4588 32074 -3905 1896 -991 545 -248 
3880 -299 730 -1605 4512 32099 -3857 1870 -977 538 -244 
3900 -295 719 -1580 4436 32124 -3808 1845 -964 530 -241 
3920 -291 708 -1555 4361 32148 -3759 1820 -950 523 -237 
3940 -286 697 -1530 4285 32171 -3709 1794 -936 515 -234 
3960 -282 686 -1505 4210 32195 -3659 1768 -923 507 -230 
3980 -277 675 -1480 4135 32217 -3609 1742 -909 500 -227 
4000 -273 664 -1455 4060 32240 -3559 1716 -895 492 -223 
4020 -268 653 -1430 3985 32262 -3508 1690 -881 484 -220 
4040 -264 642 -1405 3911 32283 -3457 1664 -867 477 -216 
4060 -259 631 -1380 3837 32304 -3405 1638 -853 469 -212 
4080 -255 620 -1355 3762 32325 -3353 1612 -839 461 -209 
4100 -250 608 -1330 3689 32345 -3301 1585 -825 453 -205 
4120 -246 597 -1305 3615 32365 -3249 1559 -811 445 -202 
4140 -241 586 -1280 3541 32384 -3196 1532 -797 437 -198 
4160 -236 575 -1255 3468 32403 -3143 1505 -783 430 -195 
4180 -232 564 -1230 3395 32421 -3090 1478 -769 422 -191 
4200 -227 553 -1205 3322 32439 -3036 1451 -754 414 -187 
4220 -223 541 -1181 3250 32456 -2982 1424 -740 406 -184 
4240 -218 530 -1156 3177 32473 -2928 1397 -726 398 -180 
4260 -214 519 -1131 3105 32490 -2873 1369 -711 390 -176 
4280 -209 508 -1106 3033 32506 -2818 1342 -697 382 -173 
4300 -205 497 -1081 2961 32522 -2763 1314 -682 374 -169 
4320 -200 485 -1056 2890 32537 -2708 1287 -668 366 -165 
4340 -195 474 -1031 2819 32552 -2652 1259 -653 358 -162 
4360 -191 463 -1007 2747 32566 -2596 1231 -638 350 -158 
4380 -186 452 -982 2677 32580 -2539 1203 -624 341 -154 
4400 -182 441 -957 2606 32594 -2483 1175 -609 333 -151 
4420 -177 429 -932 2536 32607 -2426 1147 -594 325 -147 
4440 -172 418 -907 2465 32619 -2368 1119 -580 317 -143 
4460 -168 407 -883 2395 32632 -2311 1091 -565 309 -140 
4480 -163 396 -858 2326 32643 -2253 1062 -550 301 -136 
4500 -159 385 -833 2256 32655 -2194 1034 -535 292 -132 
4520 -154 373 -809 2187 32665 -2136 1005 -520 284 -128 
4540 -149 362 -784 2118 32676 -2077 977 -505 276 -125 
4560 -145 351 -759 2049 32686 -2018 948 -490 268 -121 
4580 -140 340 -735 1980 32695 -1958 919 -475 259 -117 
4600 -136 328 -710 1912 32704 -1899 890 -460 251 -113 
4620 -131 317 -686 1844 32713 -1839 861 -445 243 -110 
4640 -126 306 -661 1776 32721 -1778 832 -430 234 -106 
4660 -122 295 -637 1709 32728 -1718 803 -414 226 -102 
4680 -117 284 -612 1641 32736 -1657 774 -399 218 -98 
4700 -113 272 -588 1574 32742 -1596 744 -384 209 -94 
4720 -108 261 -564 1507 32749 -1534 715 -369 201 -91 
4740 -103 250 -539 1440 32755 -1472 686 -353 193 -87 
4760 -99 239 -515 1374 32760 -1410 656 -338 184 -83 
4780 -94 228 -491 1308 32765 -1348 626 -323 176 -79 
4800 -90 217 -467 1242 32770 -1285 597 -307 167 -75 
4820 -85 205 -442 1176 32774 -1222 567 -292 159 -72 
4840 -80 194 -418 1111 32777 -1159 537 -276 150 -68 
4860 -76 183 -394 1046 32781 -1096 507 -261 142 -64 
4880 -71 172 -370 981 32783 -1032 477 -245 134 -60 
4900 -67 161 -346 916 32786 -968 447 -230 125 -56 
4920 -62 150 -322 852 32787 -904 417 -214 117 -52 
4940 -57 139 -298 787 32789 -839 387 -199 108 -49 
4960 -53 128 -274 723 32790 -774 356 -183 100 -45 
4980 -48 117 -250 660 32790 -709 326 -167 91 -41 
5000 -44 106 -226 596 32790 -643 296 -152 82 -37 
5020 -39 94 -203 533 32790 -578 265 -136 74 -33 
